sku,option_pn,pn_type
180726-008,128417-B21,assembly
180732-001,142671-B22,assembly
180732-002,142673-B22,assembly
180732-003,176496-B22,assembly
180732-004,142672-B21,assembly
180732-005,142674-B21,assembly
180732-006,176497-B21,assembly
180732-007,336357-B21,assembly
180732-008,128417-B21,assembly
187418-B21,187418-B21,option
187419-B21,187419-B21,option
187420-B21,187420-B21,option
187421-B21,187421-B21,option
187602-B21,187602-B21,option
187781-001,161084-B21,spare
187782-001,161085-B21,spare
188014-001,188120-B22,assembly
188014-002,188122-B22,assembly
188044-B21,188044-B21,option
188120-B22,188120-B22,option
188122-B22,188122-B22,option
188594-001,222627-B21,spare
189080-B21,189080-B21,option
189081-B21,189081-B21,option
189082-B21,189082-B21,option
189083-B21,189083-B21,option
189393-001,188120-B22,spare
189395-001,188122-B22,spare
191224-B21,191224-B21,option
192127-001,188044-B21,spare
196628-001,161086-B21,spare
196726-001,174736-B21,spare
199371-B21,199371-B21,option
201097-B21,201097-B21,option
201098-B21,201098-B21,option
201099-B21,201099-B21,option
201692-B21,201692-B21,option
201693-B21,201693-B21,option
201694-B21,201694-B21,option
201695-B21,201695-B21,option
202170-B21,202170-B21,option
202171-B21,202171-B21,option
202172-B21,202172-B21,option
202173-B21,202173-B21,option
203320-B21,203320-B21,option
203539-B21,203539-B21,option
207533-001,142671-B22,assembly
207533-002,142673-B22,assembly
207533-003,176496-B22,assembly
209816-001,203539-B21,spare
210642-B21,210642-B21,option
212693-B21,212693-B21,option
217053-B21,217053-B21,option
221536-001,187602-B21,spare
222627-B21,222627-B21,option
223773-001,158575-B21,assembly
224927-001,210642-B21,spare
225338-B21,225338-B21,option
226874-001,225338-B21,spare
228471-001,241774-B21,assembly
228496-001,201098-B21,spare
228524-001,201097-B21,spare
230255-B21,230255-B21,option
230534-B21,230534-B21,option
230560-B21,230560-B21,option
230561-B21,230561-B21,option
230991-001,231117-B21,spare
231117-B21,231117-B21,option
231118-B21,231118-B21,option
231126-001,203320-B21,spare
231377-B21,231377-B21,option
232008-001,230534-B21,spare
232305-B21,232305-B21,option
232307-B21,232307-B21,option
232308-B21,232308-B21,option
232309-B21,232309-B21,option
232431-001,142673-B22,assembly
232431-002,176496-B22,assembly
232431-003,232432-B22,assembly
232432-B22,232432-B22,option
232545-B21,232545-B21,option
232574-001,142673-B22,assembly
232574-002,176496-B22,assembly
232574-003,142674-B21,assembly
232574-004,176497-B21,assembly
232574-005,128417-B21,assembly
232916-B21,232916-B22,option
232916-B22,232916-B22,option
233273-B21,233273-B21,option
233349-001,232432-B22,spare
233350-001,232916-B22,spare
233806-002,142673-B22,assembly
233806-003,176496-B22,assembly
233806-004,232432-B22,assembly
233806-006,142674-B21,assembly
233806-007,176497-B21,assembly
233806-009,128417-B21,assembly
233806-013,142671-B22,assembly
233806-015,336357-B21,assembly
234277-B21,234277-B21,option
235065-001,188122-B22,assembly
235065-002,232916-B22,assembly
236121-B21,236121-B21,option
236844-B21,236844-B21,option
236852-B21,236852-B21,option
236853-B21,236853-B21,option
236854-B21,236854-B21,option
237585-001,230255-B21,spare
238633-B21,238633-B21,option
238888-B21,238888-B21,option
239137-001,239137-001,option
239324-001,238888-B21,spare
241773-B21,241773-B21,option
241774-B21,241774-B21,option
242506-005,287728-001,spare
242511-001,242511-001,option
243670-001,288874-B21,spare
244059-B21,244059-B21,option
244891-001,238633-B21,spare
244948-B21,244948-B21,option
244949-B21,244949-B21,option
245037-B21,245037-B21,option
247000-001,244949-B21,spare
249095-001,236121-B21,spare
249144-001,191224-B21,spare
249674-001,187418-B21,spare
249675-001,187419-B21,spare
249676-001,187420-B21,spare
251872-001,188122-B22,assembly
251872-002,232916-B22,assembly
252353-001,233273-B21,spare
253761-001,244059-B21,spare
254786-B21,254786-B21,option
255514-B21,255514-B21,option
257913-B21,257913-B21,option
257915-B21,257915-B21,option
257916-B21,257916-B21,option
259593-001,201099-B21,spare
259594-001,231118-B21,spare
260740-001,255514-B21,spare
260755-001,176496-B22,assembly
260755-002,232432-B22,assembly
261582-031,287494-B21,assembly
261583-031,287495-B21,assembly
261584-041,287496-B21,assembly
261585-041,287497-B21,assembly
262012-001,254786-B21,spare
263697-B21,263697-B21,option
264007-B21,264007-B21,option
264030-B21,264030-B21,option
265791-001,187421-B21,spare
268350-001,268351-B21,assembly
268351-B21,268351-B21,option
268351-B22,268351-B22,option
268496-002,290563-B21,assembly
268794-001,290563-B21,spare
271832-B21,271832-B21,option
271837-003,286713-B22,gpn
271837-004,286714-B22,gpn
271837-006,286716-B22,gpn
271837-011,286775-B22,gpn
271837-012,286776-B22,gpn
271837-014,286778-B22,gpn
271837-018,286778-B22,gpn
271837-028,347708-B22,gpn
271837-029,350964-B22,gpn
272653-001,268351-B21,spare
273911-B21,273911-B21,option
273913-B21,273913-B21,option
273914-B21,273914-B21,option
273915-B21,273915-B21,option
274400-001,263697-B21,spare
274402-001,264030-B21,spare
278424-B21,278424-B21,option
279785-001,271832-B21,spare
281541-B21,281541-B21,option
281860-001,241774-B21,spare
283384-001,281541-B21,spare
283551-B21,283551-B21,option
283552-B21,283552-B21,option
284685-003,244948-B21,assembly
284688-B21,284688-B21,option
284848-001,244948-B21,spare
285947-001,236844-B21,spare
286712-001,176496-B22,assembly
286712-002,232432-B22,assembly
286712-004,286713-B22,assembly
286712-005,286714-B22,assembly
286712-006,286716-B22,assembly
286712-007,271832-B21,assembly
286713-B22,286713-B22,option
286714-B22,286714-B22,option
286716-B22,286716-B22,option
286774-001,188122-B22,assembly
286774-002,232916-B22,assembly
286774-004,286775-B22,assembly
286774-005,286776-B22,assembly
286774-005-ML100,371534-B21,assembly
286774-006,286778-B22,assembly
286775-B22,286775-B22,option
286776-B21,286776-B22,option
286776-B22,286776-B22,option
286778-B22,286778-B22,option
287494-B21,287494-B21,option
287495-B21,287495-B21,option
287496-B21,287496-B21,option
287497-B21,287497-B21,option
287519-B21,287519-B21,option
287520-B21,287520-B21,option
